"","x"
"1",0.0265177135124008
"2",0.0264317557966011
"3",0.025241075748651
"4",0.026870437684215
"5",0.0249392340086129
"6",0.0273338397258012
"7",0.0250418630050171
"8",0.0240683034616215
"9",0.0269387218563225
"10",0.0259341019554123
"11",0.0247072653152756
"12",0.0301813819986904
"13",0.0278818116789812
"14",0.0289804971841497
"15",0.028367525295246
"16",0.0296661530633307
"17",0.0281908030512782
"18",0.028905253590977
"19",0.0282760747534092
"20",0.0297189378885104
"21",0.0295890342990195
"22",0.0276962073024655
"23",0.0265539287439525
"24",0.0275108629831247
"25",0.0275108629831247
"26",0.0415285829973938
"27",0.0111306177216231
"28",0.0231553824614338
"29",0.0195689134408129
"30",0.0217543087805299
"31",0.00597539654100037
"32",0.00815633220866883
"33",0.00679594206486599
"34",0.00534542891669784
"35",0.00305600547942703
"36",0.00177551700309141
